participant_id,session_timestamp,session_uuid,unix_timestamp_ms,event_type,game_mode,game_phase,target_id,target_type,target_x_normalized,target_y_normalized,target_x_pixels,target_y_pixels,target_index,game_score_at_event
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451508720,stimuli_stop,hands-fixed,targeting,left_hand_figure8_trial2_011,hand-left,0.217157287525381,0.7999999999999999,312.70649403654863,1048.8,40,40
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451508720,stimuli_start,hands-fixed,targeting,left_hand_figure8_trial2_012,hand-left,0.1304481869954854,0.7121320343559645,187.845389273499,933.6050970406695,41,40
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451508954,stimuli_stop,hands-fixed,targeting,left_hand_figure8_trial2_012,hand-left,0.1304481869954854,0.7121320343559645,187.845389273499,933.6050970406695,41,41
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451508954,stimuli_start,hands-fixed,targeting,left_hand_figure8_trial2_013,hand-left,0.1,0.5000000000000001,144,655.5000000000001,42,41
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451511134,stimuli_stop,hands-fixed,targeting,left_hand_figure8_trial2_013,hand-left,0.1,0.5000000000000001,144,655.5000000000001,42,42
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451511134,stimuli_start,hands-fixed,targeting,left_hand_figure8_trial2_014,hand-left,0.13044818699548533,0.2878679656440356,187.84538927349888,377.3949029593307,43,42
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451513972,stimuli_stop,hands-fixed,targeting,left_hand_figure8_trial2_014,hand-left,0.13044818699548533,0.2878679656440356,187.84538927349888,377.3949029593307,43,43
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451513972,stimuli_start,hands-fixed,targeting,left_hand_figure8_trial2_015,hand-left,0.2171572875253809,0.19999999999999998,312.7064940365485,262.2,44,43
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451514625,stimuli_stop,hands-fixed,targeting,left_hand_figure8_trial2_015,hand-left,0.2171572875253809,0.19999999999999998,312.7064940365485,262.2,44,44
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451514625,stimuli_start,hands-fixed,targeting,left_hand_figure8_trial2_016,hand-left,0.3469266270539638,0.28786796564403544,499.5743429577079,377.39490295933047,45,44
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451515500,stimuli_stop,hands-fixed,targeting,left_hand_figure8_trial2_016,hand-left,0.3469266270539638,0.28786796564403544,499.5743429577079,377.39490295933047,45,45
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451525527,stimuli_start,head-fixed,centering,head-centering-001,centering,0.5,0.3,720,393.3,46,45
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451526637,stimuli_stop,head-fixed,centering,head-centering-001,centering,0.5,0.3,720,393.3,46,46
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451526637,stimuli_start,head-fixed,starting,circle_001,head,0.6820833333333334,0.3,982.2,393.3,47,46
